"","NUMERO_PARTIDO","DESPESA_MAX_CAMPANHA","NOME_URNA_CANDIDATO","COD_SIT_TOT_TURNO"
"309",50,300000,"BRANCA",4
"310",43,4000000,"ENFERMEIRA MONICA",5
"311",90,1000000,"VILMA QUEIROZ",5
"312",13,2000000,"ALCINEIDE SILVA",5
"313",13,2000000,"DAVID PERRONE",5
"314",13,2000000,"CRISTIANE SALES",5
"315",14,2000000,"SABINO CASTELO BRANCO",5
"316",12,2000000,"TIÃO QUEIROZ",5
"317",40,1000000,"ROBERTO CAMPAINHA",4
"318",50,300000,"ROBERTO SANTOS",4
"319",65,5000000,"ERON BEZERRA",5
"320",44,2000000,"DARCY VALERIO",4
"321",16,160000,"PAULO MENDES",4
"322",16,160000,"DAMIANA AMORIM",4
"323",40,1000000,"STANLEY  BRAGA",4
"324",22,3000000,"ALFREDO NASCIMENTO",2
"325",51,1000000,"ERIVALDINHO",5
"326",22,3000000,"MAYSA COSTA",5
"327",55,3000000,"CARLOS SOUZA",5
"328",13,2000000,"ZE NASCIMENTO",5
"329",40,1000000,"DEUSA SILVA",4
"330",33,400000,"DARLENE MAQUINÉ",4
"331",50,300000,"DORA SANTOS",4
"332",33,400000,"RODRIGO FROTA",4
"333",43,4000000,"ADAL",4
"334",13,2000000,"CHICO NEVES",5
"335",44,2000000,"ANTONIO BUENO",4
"336",31,1000000,"WILKER BARRETO",5
"337",17,2000000,"GILMAR COUTO",5
"338",15,2000000,"MESSIAS CURSINO",5
"339",23,2000000,"HISSA ABRAHÃO",2
"340",27,2000000,"MARCELO GENEROSO",5
"341",13,2000000,"IVONE PERRONE",5
"342",44,2000000,"ANA SUZY",4
"343",44,2000000,"OTACI TEIXERA",4
"344",44,-1,"ELSON BEZERRA",-1
"345",50,300000,"MARCELA TEIXEIRA",4
"346",45,6000000,"ARTUR BISNETO",2
"347",90,1000000,"CARLOS FELIX",5
"348",55,3000000,"GUARACY DE JESUS",5
"349",10,-1,"MARTA KRAMER",-1
"350",15,2000000,"MARCOS ROTTA",2
"351",70,3000000,"CLEISIANE OLIVEIRA",5
"352",40,1000000,"REGINA SICSÚ",4
"353",19,1000000,"SARAH FURTADO",5
"354",50,300000,"FERNANDO LOBATO",4
"355",15,2000000,"GEDEÃO AMORIM",5
"356",10,2000000,"NIELE SILVA",5
"357",44,2000000,"CORDEIRO",4
"358",55,3000000,"SILAS CAMARA",2
"359",55,3000000,"RITTA BERNARDINO JR.",4
"360",12,2000000,"STONES MACHADO",5
"361",33,400000,"RICARDO AGUIAR",4
"362",36,1000000,"DR. ALONSO OLIVEIRA",5
"363",44,-1,"MARIA ONEIZE SALDANHA",-1
"364",44,2000000,"MULHER DE BRANCO",4
"365",50,300000,"ALEXANDRE SIMÕES",4
"366",19,1000000,"FELIPE SOUZA",5
"367",31,-1,"SUELI MEDEIROS",-1
"368",25,2500000,"PAUDERNEY",2
"369",44,2000000,"BENILDES SILVA",4
"370",15,2000000,"ANINHA",5
"371",11,2000000,"CONCEIÇÃO SAMPAIO",2
"372",12,2000000,"INALDO CRUZ PLACIDO",4
"373",50,300000,"PAULO APURINÃ",4
"374",44,2000000,"PARANA",4
"375",44,2000000,"LAURI GUERREIRO",4
"376",50,300000,"ADAMOR",4
"377",12,2000000,"PROF. RONY SIQUEIRA",5
"378",20,2000000,"KATIA SANTOS",5
"379",31,1000000,"GONZAGA DO ARSENAL",5
"380",10,2000000,"NUBIA RODRIGUES",5
"381",21,50000,"VALDIRENE CASTRO",4
"382",44,2000000,"DR. ARMANDO",4
"383",44,2000000,"GILBERTO HILARIO",4
"384",21,50000,"MARCELO LEITÃO",4
"385",50,-1,"MARCOS MUSSE",-1
"386",28,1000000,"ADILSON BRANDAO",4
"387",28,1000000,"PINHEIRO",4
"388",17,5000000,"AMADEUS",5
"389",44,2000000,"ANTONIO SINVAL",5
"390",43,2000000,"IVANILSON GOMES",5
"391",45,-1,"DELVACY BRANDÃO",-1
"392",36,-1,"AMERICANO",-1
"393",55,3000000,"JUSMARI OLIVEIRA",5
"394",22,3000000,"JOSÉ ROCHA",2
"395",51,-1,"CARLOS SILVA",-1
"396",36,2000000,"SÉRGIO EMÍLIO",5
"397",36,2000000,"ISRAEL PINTO",5
"398",25,4000000,"ELMAR",2
"399",25,4000000,"GERSON GABRIELLI",5
"400",31,0,"BARBARA REHEM",4
"401",65,5000000,"DANIEL ALMEIDA",2
"402",28,1000000,"LUIS PIMENTEL",4
