Ano;Sigla;Codigo;Estado;Domicilios com agua potavel;Domicilios com instalacao adequada de esgoto;PEA;Taxa de Desemprego;Coeficiente_de_Gini;# Domilicios com Extrema Pobreza;# Domilicios com Pobreza;Analfabetos mais de 25;Anos de estudo medio mais de 25
2008;AC;12;Acre;0,62;0,46;235961,00;7,7;0,56;18394,00;53716,00;4,5;6,5
2008;AL;27;Alagoas;0,76;0,35;1214516,00;8;0,583;150761,00;351014,00;7,61;5
2008;AM;13;Amazonas;0,82;0,56;1192563,00;10;0,513;78978,00;220747,00;2,66;7,1
2008;AP;16;Amapá;0,94;0,33;284883,00;15,2;0,456;7796,00;39498,00;0,28;7,8
2008;BA;29;Bahia;0,82;0,55;6677107,00;10,5;0,559;496320,00;1346872,00;3,04;5,7
2008;CE;23;Ceará;0,81;0,51;4022156,00;7;0,54;253799,00;729747,00;4,33;5,7
2008;DF;53;Distrito Federal;1;0,96;1362097,00;11,2;0,621;26063,00;76637,00;0,91;9,4
2008;ES;32;Espírito Santo;0,99;0,71;1807288,00;6,2;0,521;32465,00;101381,00;0,92;7
2008;GO;52;Goiás;0,98;0,35;3112221,00;7,2;0,513;59717,00;184899,00;1,18;6,9
2008;MA;21;Maranhão;0,7;0,58;2588114,00;6,7;0,521;240029,00;623180,00;4,9;5,4
2008;MG;31;Minas Gerais;0,97;0,79;10001996,00;6,7;0,515;177969,00;588203,00;1,37;6,8
2008;MS;50;Mato Grosso do Sul;0,98;0,23;1267544,00;7,9;0,529;18152,00;68775,00;0,84;6,9
2008;MT;51;Mato Grosso;0,95;0,52;1548168,00;6,2;0,544;34284,00;89513,00;1,76;6,8
2008;PA;15;Pará;0,68;0,56;2356240,00;6,8;0,496;142392,00;509674,00;3,26;6,1
2008;PB;25;Paraíba;0,83;0,56;1582055,00;7,9;0,585;134442,00;358337,00;5,36;5,5
2008;PE;26;Pernambuco;0,79;0,49;3817619,00;10,7;0,565;353404,00;915700,00;4,34;6
2008;PI;22;Piauí;0,7;0,58;1486264,00;5;0,574;135396,00;306375,00;5,59;5,1
2008;PR;41;Paraná;0,99;0,71;5440285,00;5;0,5;107979,00;342128,00;1;7,5
