"","NUMERO_PARTIDO","DESPESA_MAX_CAMPANHA","SIGLA_PARTIDO","SIGLA_UF","DESC_SIT_TOT_TURNO"
"35",17,1000000,"PSL","BA","NÃO ELEITO"
"36",56,1000000,"PRONA","BA","#NE#"
"37",20,7000000,"PSC","BA","NÃO ELEITO"
"38",40,20000000,"PSB","CE","ELEITO"
"39",27,800000,"PSDC","CE","NÃO ELEITO"
"40",22,2000000,"PL","CE","NÃO ELEITO"
"41",45,20000000,"PSDB","CE","NÃO ELEITO"
"42",50,500000,"PSOL","CE","NÃO ELEITO"
"43",29,20000,"PCO","CE","NÃO ELEITO"
"44",50,600000,"PSOL","DF","NÃO ELEITO"
"45",13,9000000,"PT","DF","NÃO ELEITO"
"46",29,30000,"PCO","DF","NÃO ELEITO"
"47",25,10000000,"PFL","DF","ELEITO"
"48",27,900000,"PSDC","DF","NÃO ELEITO"
"49",45,8000000,"PSDB","DF","NÃO ELEITO"
"50",27,5000000,"PSDC","ES","NÃO ELEITO"
"51",12,5000000,"PDT","ES","NÃO ELEITO"
"52",50,500000,"PSOL","ES","NÃO ELEITO"
"53",29,5000,"PCO","ES","NÃO ELEITO"
"54",17,5000000,"PSL","ES","NÃO ELEITO"
"55",15,6500000,"PMDB","ES","ELEITO"
"56",11,16000000,"PP","GO","2º TURNO"
"57",25,12000000,"PFL","GO","NÃO ELEITO"
"58",27,6000000,"PSDC","GO","NÃO ELEITO"
"59",50,300000,"PSOL","GO","NÃO ELEITO"
